court_id, type_name,
1,Basketball,
1,Volleyball,
1,Badminton,
1,Roller Hockey,
1,Futsal Courts,
2,Basketball,
2,Volleyball,
2,Badminton,
2,Roller Hockey,
2,Futsal Courts,
3,Basketball,
3,Volleyball,
3,Badminton,
3,Roller Hockey,
3,Futsal Courts,
4,Racquetball,
4,Wallyball,
5,Racquetball,
5,Wallyball,
6,Soccer,
7,Squash,
8,Squash,
9,Squash,
10,Squash,
11,Squash,
12,Squash,
13,Squash,
14,Squash,
